800
36620
0 2 4
0 8 3
0 16 2
0 20 4
0 52 4
0 53 3
0 63 2
0 65 4
0 67 5
0 75 2
0 100 3
0 102 3
0 109 2
0 112 3
0 128 5
0 138 2
0 141 4
0 142 3
0 145 5
0 211 1
0 237 4
0 245 4
0 246 3
0 254 3
0 259 1
0 262 2
0 263 3
0 285 2
0 333 5
0 370 3
0 388 3
0 422 3
0 436 4
0 447 4
0 501 5
0 515 2
0 543 2
0 557 3
0 564 5
0 612 4
0 654 3
0 663 3
0 681 1
0 687 5
0 697 2
0 721 2
0 738 5
0 742 5
0 743 4
0 765 3
0 766 4
0 770 1
1 1 1
1 25 2
1 28 1
1 30 1
1 37 4
1 118 4
1 123 4
1 126 1
1 129 3
1 131 4
1 135 5
1 152 4
1 161 1
1 172 1
1 195 1
1 215 1
1 253 2
1 260 3
1 283 5
1 291 3
1 295 4
1 305 5
1 357 2
1 358 3
1 374 5
1 411 5
1 436 3
1 441 3
1 505 2
1 528 2
1 547 2
1 557 1
1 571 5
1 579 1
1 616 3
1 623 1
1 624 5
1 630 5
1 631 2
1 642 1
1 656 1
1 688 2
1 722 2
1 728 1
1 751 2
1 770 3
1 783 4
1 796 2
2 2 4
2 15 3
2 33 2
2 43 5
2 68 3
2 122 4
2 168 3
2 223 3
2 245 4
2 274 1
2 277 2
2 278 1
2 300 4
2 308 3
2 318 5
2 328 5
2 360 5
2 367 2
2 375 4
2 424 5
2 426 1
2 434 4
2 436 4
2 437 3
2 459 5
2 463 5
2 478 3
2 482 3
2 488 2
2 494 1
2 529 1
2 595 2
2 597 2
2 606 3
2 669 2
2 670 1
2 671 5
2 695 5
2 696 5
2 716 3
2 730 2
3 18 2
3 26 3
3 42 3
3 45 5
3 73 5
3 78 4
3 86 1
3 91 5
3 106 1
3 109 1
3 112 1
3 139 5
3 151 4
3 161 4
3 165 4
3 195 5
3 205 4
3 233 4
3 282 3
3 284 5
3 333 5
3 346 1
3 357 5
3 359 2
3 399 2
3 401 1
3 422 3
3 425 4
3 441 4
3 451 3
3 468 4
3 488 3
3 538 4
3 542 4
3 550 5
3 551 5
3 584 5
3 597 2
3 606 5
3 620 5
3 680 4
3 713 1
3 746 1
3 751 2
3 768 3
3 785 4
3 793 1
3 794 1
4 5 2
4 26 5
4 52 1
4 53 2
4 58 2
4 100 5
4 132 3
4 148 5
4 149 5
4 188 3
4 238 3
4 263 3
4 264 5
4 277 3
4 280 2
4 281 3
4 288 1
4 313 3
4 320 5
4 338 1
4 351 2
4 353 2
4 378 3
4 384 3
4 416 1
4 428 4
4 449 3
4 459 2
4 497 3
4 525 2
4 536 4
4 609 2
4 659 4
4 668 1
4 670 1
4 671 3
4 678 4
4 715 3
4 726 4
4 729 2
4 732 2
4 738 3
4 769 1
5 5 5
5 18 5
5 23 5
5 27 4
5 37 2
5 49 5
5 63 3
5 66 1
5 76 3
5 145 5
5 160 5
5 165 2
5 174 2
5 176 1
5 186 2
5 189 4
5 227 2
5 246 5
5 253 1
5 257 5
5 268 3
5 280 3
5 316 3
5 336 2
5 344 2
5 352 1
5 400 2
5 406 4
5 411 3
5 480 2
5 522 5
5 534 5
5 568 1
5 592 1
5 650 4
5 664 3
5 693 2
