500
41730
0 2 4
0 8 3
0 15 2
0 22 4
0 27 4
0 35 2
0 39 5
0 60 3
0 73 2
0 86 3
0 89 1
0 90 3
0 93 3
0 95 2
0 99 2
0 100 3
0 114 2
0 118 2
0 123 4
0 129 5
0 135 4
0 145 4
0 153 2
0 166 5
0 168 3
0 190 3
0 207 3
0 209 1
0 213 2
0 220 1
0 232 4
0 243 3
0 249 1
0 260 4
0 276 4
0 277 2
0 285 4
0 286 5
0 287 2
0 289 1
0 299 3
0 311 2
0 313 2
0 314 3
0 315 5
0 317 2
0 342 5
0 347 2
0 350 2
0 351 3
0 358 5
0 363 3
0 366 1
0 372 1
0 387 2
0 402 2
0 403 2
0 406 5
0 416 4
0 417 3
0 420 3
0 424 2
0 436 4
0 437 3
0 438 3
0 439 1
0 440 3
0 443 2
0 462 3
0 481 3
0 483 1
0 486 1
0 497 1
1 16 3
1 24 3
1 26 2
1 28 1
1 36 3
1 41 3
1 45 5
1 46 5
1 49 1
1 52 1
1 56 4
1 71 2
1 75 1
1 77 4
1 89 1
1 91 5
1 92 4
1 102 1
1 107 2
1 116 4
1 119 4
1 125 4
1 127 3
1 131 3
1 139 3
1 148 3
1 153 4
1 158 3
1 164 5
1 165 2
1 169 5
1 179 1
1 184 5
1 189 5
1 197 3
1 198 4
1 200 5
1 202 1
1 208 2
1 209 1
1 214 3
1 220 4
1 228 5
1 232 1
1 233 3
1 240 2
1 243 1
1 245 3
1 253 1
1 255 1
1 260 2
1 266 1
1 279 4
1 280 1
1 283 2
1 292 3
1 301 2
1 315 5
1 322 3
1 327 1
1 328 4
1 343 5
1 347 1
1 348 1
1 354 1
1 371 3
1 373 2
1 382 2
1 385 4
1 386 2
1 390 1
1 391 4
1 398 2
1 407 4
1 413 1
1 420 1
1 421 5
1 422 4
1 425 5
1 434 2
1 438 5
1 447 4
1 449 4
1 452 5
1 455 5
1 462 3
1 470 2
1 477 1
1 494 4
1 496 2
1 497 1
1 498 5
2 2 3
2 3 1
2 23 2
2 26 2
2 28 3
2 31 5
2 49 3
2 53 1
2 64 5
2 69 5
2 74 3
2 76 5
2 90 3
2 103 2
2 115 3
2 119 1
2 125 5
2 133 1
2 141 5
2 147 4
2 152 3
2 167 2
2 171 2
2 172 2
2 174 5
2 190 1
2 191 3
2 192 1
2 194 4
2 197 5
2 198 1
2 202 2
2 212 4
2 216 4
2 224 2
2 252 1
2 259 2
2 269 2
2 274 5
