200
5884
0 1 2
0 14 5
0 26 2
0 29 4
0 37 5
0 41 2
0 48 3
0 49 2
0 50 2
0 58 1
0 60 5
0 61 3
0 62 5
0 63 1
0 64 5
0 85 1
0 97 3
0 98 5
0 109 1
0 117 2
0 128 2
0 138 2
0 140 2
0 159 2
0 160 3
0 161 2
0 186 5
0 188 3
0 195 5
1 2 3
1 6 4
1 15 4
1 16 4
1 47 5
1 53 1
1 54 5
1 65 4
1 67 1
1 78 4
1 80 3
1 81 4
1 90 5
1 92 3
1 100 1
1 102 5
1 105 1
1 108 4
1 110 1
1 117 1
1 127 3
1 134 1
1 136 1
1 137 5
1 153 5
1 155 1
1 163 5
1 179 4
1 183 1
1 188 2
1 189 4
1 192 4
1 199 3
2 0 2
2 3 3
2 4 4
2 12 3
2 24 4
2 26 1
2 27 5
2 28 2
2 34 5
2 35 4
2 48 4
2 52 2
2 67 1
2 75 3
2 76 5
2 77 2
2 80 5
2 82 3
2 96 1
2 100 3
2 103 2
2 107 3
2 114 4
2 115 3
2 126 2
2 130 3
2 131 2
2 150 4
2 163 2
2 165 4
2 168 5
2 173 1
2 175 2
2 178 5
2 179 4
2 198 4
2 199 3
3 5 3
3 27 1
3 29 3
3 41 5
3 42 2
3 43 5
3 49 5
3 53 2
3 66 2
3 68 5
3 69 3
3 71 5
3 98 1
3 102 2
3 106 1
3 125 4
3 126 4
3 127 3
3 130 3
3 133 5
3 141 3
3 151 3
3 152 4
3 158 5
3 165 5
3 171 5
3 193 4
4 0 1
4 13 3
4 31 1
4 41 2
4 42 1
4 47 2
4 57 2
4 58 4
4 66 5
4 73 2
4 91 2
4 103 1
4 116 5
4 119 4
4 120 3
4 127 3
4 132 1
4 136 5
4 140 2
4 151 5
4 166 5
4 168 1
4 178 5
4 181 4
4 192 4
5 4 5
5 20 1
5 32 1
5 45 3
5 46 3
5 56 1
5 59 1
5 65 2
5 72 5
5 75 4
5 78 3
5 80 5
5 86 2
5 94 1
5 95 2
5 99 4
5 102 3
5 111 5
5 132 3
5 135 5
5 136 3
5 142 5
5 143 2
5 147 2
5 148 3
5 156 3
5 160 5
5 169 2
5 171 5
5 173 2
5 196 5
6 4 1
6 10 5
6 12 4
6 13 3
6 17 1
6 29 5
6 33 3
6 38 2
6 48 3
6 60 5
6 66 5
6 81 5
6 84 3
6 93 2
6 98 4
6 109 5
6 112 5
6 117 4
6 124 3
6 125 4
6 129 4
6 130 5
6 153 1
6 155 4
6 160 2
6 161 1
6 172 5
6 180 5
6 187 1
6 197 1
7 7 4
7 12 3
7 15 1
7 19 1
7 36 5
7 38 5
7 50 5
7 56 5
7 68 5
7 71 4
7 74 1
7 75 3
7 90 4
7 99 2
7 104 2
7 106 3
7 124 3
7 134 3
7 138 3
7 145 4
7 153 4
7 158 3
7 166 3
7 172 4
7 182 4
7 184 5
7 186 4
7 190 4
7 199 5
8 1 4
8 3 2
8 4 2
8 14 4
8 16 4
8 17 5
8 22 3
8 23 3
8 36 1
8 45 1
8 47 1
8 56 3
8 59 5
8 60 5
8 64 1
8 67 4
8 71 2
8 72 1
8 78 4
8 85 2
8 97 5
8 99 5
8 101 5
8 106 1
8 111 2
8 113 2
8 118 1
8 125 2
8 130 2
8 135 3
8 148 3
8 149 3
8 152 3
8 168 5
8 172 3
8 174 1
8 176 3
8 180 3
8 193 4
8 194 5
9 2 1
9 11 5
9 22 4
9 23 2
9 25 4
9 27 5
9 38 2
9 40 2
9 45 5
9 48 5
9 51 5
9 53 1
9 60 4
9 66 1
9 68 4
9 73 5
9 85 3
9 90 2
9 91 2
9 110 3
9 115 4
9 121 5
9 122 2
9 142 1
9 165 4
9 181 5
9 188 5
9 191 5
9 195 4
10 1 3
10 17 4
10 35 1
10 36 4
10 42 1
10 48 5
10 65 1
10 66 1
10 67 3
10 86 3
10 87 3
10 88 3
10 104 5
10 110 2
10 113 2
10 115 4
10 116 3
10 129 5
10 138 4
10 143 5
10 151 4
10 159 1
10 184 4
10 187 5
10 188 5
10 191 1
10 192 3
11 0 5
11 8 3
11 30 4
11 31 5
11 54 1
11 55 3
11 56 3
11 73 1
11 80 4
11 81 1
11 88 2
11 91 5
11 92 3
11 102 2
11 105 4
11 106 5
11 110 2
11 116 1
11 127 5
11 140 4
11 152 4
11 154 2
11 165 2
11 166 1
11 180 2
11 181 5
12 4 4
12 7 1
12 32 5
12 33 2
12 44 3
12 54 4
12 57 2
12 59 1
12 78 2
12 95 1
12 99 4
12 106 3
12 108 4
12 118 3
12 126 2
12 131 4
12 135 4
12 155 2
12 156 4
12 160 3
12 161 4
12 162 2
12 179 4
12 180 2
12 196 4
13 9 2
13 16 1
13 17 4
13 18 5
13 26 2
13 41 1
13 44 2
13 49 2
13 59 3
13 60 1
13 67 4
13 72 2
13 75 4
13 82 5
13 93 1
13 97 5
13 100 2
13 107 5
13 114 2
13 116 2
13 134 4
13 142 2
13 143 1
13 148 4
13 155 3
13 158 5
13 171 3
13 184 4
13 185 2
13 190 3
13 193 1
13 195 5
14 7 4
14 22 5
14 29 2
14 32 1
14 43 2
14 46 3
14 48 2
14 52 2
14 59 3
14 60 2
14 64 5
14 70 4
14 84 4
14 93 4
14 95 1
14 96 4
14 108 2
14 111 1
14 116 5
14 117 2
14 121 2
14 136 5
14 141 1
14 147 2
14 148 5
14 166 5
14 172 2
14 174 4
14 180 3
14 183 1
14 199 5
15 8 2
15 9 1
15 10 5
15 21 1
15 22 5
15 29 5
15 37 3
15 44 4
15 62 2
15 81 1
15 83 1
15 112 4
15 115 3
15 145 3
15 151 2
15 158 5
15 160 2
15 164 2
15 168 5
15 170 2
15 173 2
15 175 2
15 184 1
15 185 2
15 188 2
16 10 4
16 36 5
16 46 3
16 50 3
16 61 3
16 65 3
16 85 2
16 86 3
16 87 1
16 93 2
16 99 5
16 107 2
16 118 5
16 120 1
16 127 1
16 132 5
16 134 5
16 135 5
16 142 3
16 161 4
16 169 4
16 172 1
16 176 2
16 179 2
16 184 3
16 187 2
16 191 3
16 196 4
17 7 2
17 12 1
17 25 4
17 27 4
17 30 3
17 35 4
17 48 4
17 49 2
17 68 3
17 72 5
17 74 2
17 75 2
17 80 5
17 85 5
17 94 4
17 96 1
17 103 3
17 109 4
17 122 3
17 127 1
17 149 3
17 150 4
17 153 4
