200
6325
0 1 2
0 13 5
0 35 3
0 42 5
0 57 1
0 66 4
0 74 5
0 75 4
0 77 3
0 80 1
0 81 4
0 86 5
0 91 5
0 95 1
0 96 5
0 98 1
0 107 1
0 109 1
0 119 1
0 120 2
0 122 2
0 129 2
0 134 2
0 144 4
0 150 3
0 151 4
0 152 2
0 164 4
0 179 3
0 181 5
0 183 4
0 187 5
0 195 5
1 3 2
1 13 2
1 14 2
1 38 3
1 39 1
1 43 5
1 51 1
1 62 3
1 63 2
1 70 1
1 74 3
1 81 1
1 83 2
1 89 5
1 95 2
1 96 2
1 109 1
1 112 2
1 113 3
1 133 1
1 154 5
1 156 1
1 160 5
1 164 1
2 1 5
2 4 5
2 9 5
2 15 4
2 18 2
2 33 5
2 35 4
2 36 3
2 46 4
2 51 2
2 55 4
2 57 4
2 60 5
2 64 1
2 67 5
2 70 4
2 77 4
2 79 2
2 85 5
2 108 5
2 110 5
2 111 5
2 116 2
2 117 4
2 123 5
2 132 5
2 135 1
2 137 4
2 147 4
2 150 1
2 161 2
2 168 4
2 173 5
2 175 4
2 176 5
2 179 4
2 190 5
3 2 2
3 8 3
3 11 5
3 19 2
3 21 5
3 31 4
3 34 3
3 41 1
3 45 1
3 50 3
3 51 2
3 59 4
3 66 1
3 75 5
3 87 5
3 90 1
3 94 3
3 101 3
3 103 3
3 111 1
3 122 4
3 133 4
3 136 1
3 138 2
3 144 1
3 147 2
3 166 5
3 171 1
3 172 3
3 189 3
3 195 3
3 199 2
4 8 3
4 14 1
4 22 1
4 34 3
4 35 4
4 37 5
4 41 3
4 43 4
4 46 5
4 54 4
4 72 1
4 73 3
4 82 4
4 94 3
4 104 5
4 106 3
4 107 5
4 117 1
4 131 1
4 138 4
4 139 4
4 147 3
4 149 3
4 157 4
4 166 2
4 167 4
4 190 1
4 194 5
4 195 5
4 198 3
4 199 1
5 2 3
5 6 3
5 8 1
5 13 2
5 14 4
5 25 2
5 28 4
5 35 3
5 36 2
5 39 5
5 42 4
5 48 1
5 49 3
5 72 5
5 85 3
5 108 3
5 112 4
5 118 3
5 119 1
5 131 3
5 144 1
5 147 5
5 160 5
5 172 4
5 176 2
5 181 1
5 187 5
5 190 1
5 195 5
6 1 3
6 16 3
6 27 5
6 28 1
6 31 5
6 32 1
6 46 1
6 50 2
6 54 4
6 55 2
6 68 4
6 71 1
6 73 4
6 75 4
6 79 2
6 99 3
6 100 1
6 103 4
6 105 1
6 120 5
6 124 1
6 128 5
6 130 1
6 132 2
6 133 1
6 144 4
6 147 5
6 148 1
6 151 5
6 156 4
6 157 2
6 169 1
6 170 4
6 175 4
6 177 2
6 185 1
6 187 2
6 199 2
7 5 2
7 13 2
7 20 3
7 22 3
7 34 4
7 41 4
7 50 5
7 51 1
7 55 1
7 56 2
7 62 1
7 63 2
7 68 3
7 74 5
7 80 2
7 82 5
7 83 1
7 96 5
7 101 5
7 107 1
7 110 4
7 111 3
7 114 2
7 123 2
7 127 2
7 128 3
7 142 4
7 146 3
7 147 5
7 150 4
7 153 1
7 155 3
7 165 3
7 166 5
7 169 5
7 171 4
7 185 3
7 198 4
7 199 3
8 0 5
8 1 4
8 4 2
8 6 1
8 17 2
8 28 5
8 30 2
8 33 5
8 36 1
8 39 1
8 55 5
8 59 3
8 61 3
8 63 1
8 72 1
8 88 1
8 94 4
8 101 3
8 103 2
8 107 5
8 108 1
8 111 1
8 112 5
8 114 3
8 121 1
8 124 3
8 136 1
8 140 5
8 156 4
8 157 1
8 186 2
8 194 4
9 9 4
9 11 1
9 12 1
9 25 4
9 28 4
9 33 5
9 35 3
9 38 3
9 49 3
9 51 4
9 53 3
9 63 5
9 75 1
9 87 4
9 93 3
9 104 3
9 126 2
9 132 3
9 140 3
9 152 5
9 154 1
9 180 4
9 182 3
9 189 4
9 196 5
10 3 3
10 4 4
10 11 1
10 16 3
10 18 4
10 21 4
10 32 1
10 54 1
10 64 3
10 66 1
10 71 1
10 74 5
10 82 3
10 84 3
10 87 1
10 92 3
10 93 2
10 114 2
10 120 2
10 122 5
10 124 1
10 127 4
10 141 1
10 144 5
10 151 2
10 154 5
10 155 2
10 167 4
10 169 5
10 175 2
10 185 1
10 190 1
10 195 2
10 196 4
11 15 2
11 17 5
11 19 5
11 24 1
11 28 2
11 30 2
11 31 1
11 38 2
11 39 4
11 53 3
11 67 3
11 68 2
11 69 1
11 76 2
11 78 3
11 83 1
11 92 1
11 102 4
11 104 1
11 107 2
11 116 3
11 118 3
11 125 5
11 128 3
11 137 2
11 144 2
11 147 3
11 156 3
11 157 3
11 160 2
11 163 1
11 164 1
11 167 2
11 171 4
11 174 2
11 179 3
11 186 1
11 191 1
11 195 1
12 2 1
12 4 3
12 5 3
12 7 5
12 11 1
12 17 4
12 20 2
12 24 5
12 31 4
12 49 4
12 51 1
12 55 4
12 69 1
12 71 4
12 79 2
12 95 5
12 103 4
12 105 1
12 108 3
12 110 3
12 112 2
12 118 2
12 123 1
12 125 4
12 131 3
12 141 1
12 148 5
12 158 2
12 161 2
12 175 3
12 177 1
12 178 5
12 186 3
12 196 5
12 197 3
13 0 4
13 1 2
13 13 4
13 26 3
13 27 5
13 30 4
13 49 4
13 56 2
13 59 1
13 67 2
13 77 3
13 99 2
13 107 5
13 119 1
13 120 3
13 122 5
13 134 5
13 139 1
13 145 4
13 151 3
13 152 4
13 160 3
13 162 2
13 164 2
13 182 5
14 14 1
14 23 3
14 24 3
14 31 5
14 40 1
14 47 4
14 51 4
14 55 4
14 61 5
14 85 4
14 86 5
14 91 1
14 92 2
14 96 5
14 107 5
14 112 2
14 114 2
14 117 1
14 118 2
14 123 4
14 124 2
14 129 4
14 131 5
14 141 3
14 142 1
14 143 5
14 144 2
14 151 4
14 155 4
14 161 5
14 168 1
14 182 1
14 184 1
14 196 3
14 199 3
15 9 3
15 23 3
15 26 1
15 30 4
15 37 4
15 40 4
15 46 3
15 48 3
15 49 2
15 58 4
15 60 2
15 62 4
15 73 4
15 76 1
15 91 3
15 97 1
15 110 5
15 117 2
15 120 2
15 124 1
15 127 2
15 134 2
15 143 1
15 158 5
15 159 2
15 163 1
15 171 3
15 177 4
15 179 3
15 182 2
15 185 1
15 197 3
16 7 1
16 8 2
16 20 5
16 35 2
16 46 1
16 48 5
16 51 1
16 66 1
16 67 5
16 69 2
16 70 4
16 74 5
16 75 5
16 91 4
16 97 1
16 98 5
16 113 5
16 135 3
16 138 3
16 153 1
16 155 2
16 157 5
16 164 1
16 168 3
16 170 2
16 171 5
16 174 1
16 183 1
17 8 2
17 9 4
17 11 2
17 17 2
17 18 5
17 19 3
17 22 5
17 27 5
17 42 3
17 61 4
17 67 3
17 68 3
17 71 4
17 82 4
17 87 2
17 95 4
17 122 5
17 125 4
17 132 1
17 142 3
17 144 5
17 146 2
17 161 3
17 164 2
17 166 1
17 169 3
17 182 5
17 193 4
17 198 2
18 5 2
18 16 1
18 26 2
18 39 1
18 40 3
18 42 5
18 48 3
18 50 4
18 54 1
18 69 5
18 71 3
18 87 1
18 89 2
18 97 2
18 100 2
18 109 1
18 113 3
18 114 1
18 115 3
18 134 1
18 143 5
18 162 3
18 167 2
18 173 3
18 186 2
18 190 1
18 192 5
18 195 2
18 198 5
19 4 1
19 27 1
19 29 3
19 31 1
19 36 4
19 45 2
19 50 4
19 55 1
19 57 5
19 60 5
19 62 5
19 78 5
19 80 5
19 81 1
19 85 5
19 88 5
19 95 3
19 99 3
19 104 4
19 110 4
19 127 1
19 129 4
19 130 4
19 133 5
19 136 5
19 137 1
19 139 3
19 154 1
19 155 4
19 157 5
19 166 5
19 188 1
19 190 5
20 21 4
20 30 3
20 35 2
20 51 3
20 57 1
20 69 2
20 76 4
20 85 4
20 89 2
20 91 4
20 102 4
20 104 5
20 112 1
20 122 5
20 130 4
20 152 4
20 174 4
20 178 3
21 1 2
21 12 4
21 17 1
21 24 1
21 25 5
21 26 5
21 33 2
21 46 5
21 49 1
21 50 5
21 60 2
21 63 3
21 64 2
21 65 3
21 78 1
21 88 3
21 101 5
21 126 1
21 129 2
21 142 3
21 148 5
21 164 3
21 166 3
21 168 5
21 175 5
21 180 2
21 197 4
22 8 3
22 19 5
22 27 1
22 31 3
22 32 2
22 33 4
22 36 4
22 40 2
22 43 4
22 53 3
22 61 3
22 62 3
22 64 4
22 67 4
22 70 2
22 85 2
22 98 4
22 107 2
22 110 2
22 114 5
22 120 1
22 123 2
22 137 1
22 138 4
22 139 3
22 153 4
22 158 4
22 164 5
22 168 2
22 182 3
22 192 3
22 195 2
23 2 3
23 21 3
23 23 5
23 28 2
23 32 5
23 33 1
23 38 2
23 48 4
23 52 4
23 56 3
23 61 1
23 76 1
23 82 5
23 91 3
23 93 5
23 96 5
23 98 4
23 100 4
23 101 5
23 104 5
23 106 1
23 109 5
23 111 1
23 113 3
23 138 2
23 144 5
23 145 2
23 147 3
23 149 3
23 152 3
23 155 1
23 157 4
23 160 2
23 163 1
23 166 5
23 171 3
23 190 1
23 192 2
23 194 2
24 1 4
24 2 4
24 25 5
24 27 5
24 39 1
24 41 1
24 50 3
24 52 1
24 71 3
24 81 4
24 98 2
24 99 4
24 100 3
24 117 3
24 121 3
24 125 1
24 129 4
24 132 3
24 133 3
24 142 5
24 146 5
24 158 1
24 167 2
24 177 2
24 183 4
24 184 2
24 185 3
24 189 5
24 191 1
24 194 3
24 195 1
25 5 4
25 9 4
25 39 2
25 47 2
25 55 5
25 64 2
25 66 2
25 81 5
25 83 4
25 87 1
25 90 1
25 99 5
25 113 1
25 114 2
25 119 3
25 138 5
25 140 2
25 145 5
25 146 4
25 148 4
25 157 4
25 159 4
25 163 2
25 171 5
25 180 2
25 183 5
25 184 5
25 191 5
25 196 3
26 8 1
26 10 1
26 20 2
26 22 1
26 23 5
26 27 5
26 32 3
26 37 1
26 38 1
26 40 5
26 42 4
26 53 4
26 58 5
26 75 4
26 76 1
26 84 4
26 89 5
26 110 2
26 114 3
26 115 4
26 116 1
26 119 4
26 123 2
26 124 2
26 136 5
26 152 3
26 159 5
26 170 4
26 171 3
26 176 5
26 184 4
26 197 2
26 199 4
27 1 1
27 5 3
27 10 3
27 23 2
27 25 2
27 30 3
27 48 5
27 49 5
27 56 2
27 57 5
27 75 4
27 92 2
27 102 3
27 106 5
27 111 2
27 125 4
27 126 2
27 137 3
27 143 5
27 150 2
27 158 2
27 177 4
27 185 4
27 190 2
28 4 5
28 7 1
28 11 4
28 25 3
28 30 4
28 35 1
28 38 5
28 44 3
28 46 3
28 49 4
28 54 4
28 79 5
28 96 2
28 98 3
28 103 3
28 109 4
28 112 3
28 119 2
28 124 2
28 137 5
28 139 2
28 145 3
28 154 5
28 155 5
28 158 2
28 181 2
